"Acc_name","Syn"
"Scutellaria drummondii var. edwardsiana","Scutellaria drummondii"
"Buchnera americana","Buchnera floridana"
"Castilleja rigida","Castilleja latebracteata"
"Maurandella antirrhiniflora","Maurandya antirrhiniflora"
"Glandularia bipinnatifida var. bipinnatifida","Glandularia bipinnatifida"
"Glandularia bipinnatifida var. bipinnatifida","Verbena bipinnatifida"
"Lantana achyranthifolia","Lantana macropoda"
"Schoenocaulon texanum","Schoenocaulon wrightii"
"Acalypha monostachya","Acalypha hederacea"
"Acalypha phleoides","Acalypha lindheimeri"
"Chamaesyce angusta","Euphorbia angusta"
"Euphorbia davidii","Euphorbia dentata"
"Jatropha dioica var. dioica","Jatropha dioica"
"Triadica sebifera","Sapium sebiferum"
"Linum berlandieri var. filifolium","Linum rigidum"
"Leptopus phyllanthoides","Andrachne phyllanthoides"
"Salix exigua","Salix thurberi"
"Allowissadula holosericea","Wissadula holosericea"
"Gaura suffulta","Gaura suffulta suffulta"
"Eleocharis montevidensis","Eleocharis palmeri"
"Schoenoplectus americanus","Scirpus americanus"
"Cenchrus spinifex","Cenchrus incertus"
"Chloris X subdolichostachya","Chloris subdolichostachya"
"Dasyochloa pulchella","Erioneuron pulchellum"
"Digitaria cognata","Leptoloma cognatum"
"Pleuraphis mutica","Hilaria mutica"
"Urochloa fasciculata","Brachiaria fasciculata"
"Platanus occidentalis","Platanus occidentalis palmeri"
"Mahonia trifoliolata","Berberis trifoliolata"
"Corydalis curvisiliqua ssp. curvisiliqua","Corydalis curvisiliqua"
"Corydalis micrantha ssp. texensis","Corydalis micrantha texensis"
"Celtis laevigata var. reticulata","Celtis reticulata"
"Rubus riograndis","Rubus trivialis duplaris"
"Marsilea vestita","Marsilea vestita ssp. vestita"
"Rhus virens var. virens","Rhus virens"
"Evolvulus alsinoides var. angustifolius","Evolvulus alsinoides hiticaulis"
"Calibrachoa parviflora","Petunia parviflora"
"Solanum ptychanthum","Solanum ptycanthum"
"Cissus trifoliata","Cissus incisa"
"Guaiacum angustifolium","Guaiacum angustifolia"
